release_date,weighted_gamma,gamma,n_word,n_document
2015-11-08,0.0760579586844719,0.08317119752994148,11755,26
2015-11-09,0.03888312300466647,0.04850580786379616,21603,63
2015-11-10,0.0761897784003252,0.05802605755950802,16520,56
2015-11-11,0.04810546324734198,0.046169544199546685,13928,49
2015-11-12,0.04175737818764227,0.05462406176523674,16392,53
2015-11-13,0.03336365587507147,0.0337659011523979,9951,35
2015-11-14,0.021208561404165223,0.02226535506073634,1018,2
2015-11-15,0.04046379659155159,0.06630763882476673,13294,21
2015-11-16,0.05467661444513625,0.058776996415647584,19546,58
2015-11-17,0.06148930707930148,0.04500074983001424,15525,49
2015-11-18,0.05007734768344917,0.030937668944100674,15604,51
2015-11-19,0.03677373565861812,0.031729125220811595,12806,47
2015-11-20,0.0389989101258185,0.04612939034558196,15931,48
2015-11-21,0.08023285137125766,0.08741256206321564,793,3
2015-11-22,0.043646542462665486,0.04955823106295001,12590,21
2015-11-23,0.05745137431427632,0.06765482074849859,17591,47
2015-11-24,0.055752022757782266,0.06976132611825475,13587,37
2015-11-25,0.03316156832095657,0.03766762383867653,9360,28
2015-11-26,0.11528347038088294,0.134389692862941,7925,22
2015-11-27,0.039307703418663464,0.04129545779335644,5310,17
2015-11-28,0.0020821626670891654,0.0020821626670891654,295,1
2015-11-29,0.01942745152588315,0.02558216486852375,7351,13
2015-11-30,0.030645429296411095,0.03261361107415073,14071,42
2015-12-01,0.04654907348009697,0.058315690543905646,10869,41
2015-12-02,0.033090399241633685,0.032803724326060005,13826,46
2015-12-03,0.09809027327915103,0.07879072876715483,14185,46
2015-12-04,0.07026632682378614,0.05841938056876105,14831,36
2015-12-05,0.011971386207164775,0.015712621455066546,3695,6
2015-12-06,0.10753614436858706,0.09752619818543629,11384,21
2015-12-07,0.023506072946200048,0.024095181743220305,11769,35
2015-12-08,0.06742037007434623,0.07376387563301427,17498,47
2015-12-09,0.07604393260282578,0.07755166724733413,14529,49
2015-12-10,0.07186390150967717,0.07036934470839785,16316,52
2015-12-11,0.08593939094774798,0.070377252834568,8773,25
2015-12-12,0.030991840318170302,0.03175537172971267,319,2
2015-12-13,0.050025101082510556,0.04655266105318996,10041,17
2015-12-14,0.03779355920983031,0.05317960918972342,14520,43
2015-12-15,0.05335493196369489,0.0424864912259055,11680,38
2015-12-16,0.055708730539099985,0.0406463779405615,11644,39
2015-12-17,0.0429535759805711,0.034927934119468304,13287,45
2015-12-18,0.06386592876370938,0.06579381041901293,8628,31
2015-12-19,0.0734025112693675,0.1211598269802404,1232,3
2015-12-20,0.11817554926880323,0.11471916809838477,7899,14
2015-12-21,0.04871849114347721,0.043753416592499414,13405,43
2015-12-22,0.051806485698420134,0.05785263839158557,14587,39
2015-12-23,0.05489269109837912,0.05302605397371556,17623,33
2015-12-24,0.06059761719376778,0.07826918377916323,6755,20
2015-12-25,0.04366428995421382,0.029448805359499702,1034,6
2015-12-26,0.1487048066018601,0.16565359759032972,556,2
2015-12-27,0.05466076831917358,0.06719178313079686,2627,8
2015-12-28,0.03929301339745328,0.03422603930008259,8938,18
2015-12-29,0.04950342777694768,0.05985798149054095,6009,16
2015-12-30,0.06775444869841946,0.059181388106612255,11931,23
2015-12-31,0.08785123902500881,0.11902749804628583,8177,20
2016-01-01,0.08459310199142048,0.11819467937280481,4779,8
